"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","8.23%","Angry Train Staff",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","8.23%","Travelling Barber",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","7.48%","Photographer",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","6.23%","Passenger",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","3.49%","Upper Class Lady",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","2.99%","Farrier",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","2.99%","Stuffy Banker",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","2.24%","Tonic Salesman",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","2.00%","Bartender",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","1.50%","Parlour Player",401
"Gnawnian Express Station","Daredevil Canyon","Gouda","-","0.75%","Stowaway",401
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","25.48%","Coal Shoveller",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","16.56%","Train Engineer",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","10.19%","Fuel",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","8.92%","Travelling Barber",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","6.37%","Photographer",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","6.37%","Train Conductor",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","5.10%","Angry Train Staff",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","4.46%","Mysterious Traveller",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","4.46%","Passenger",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","3.82%","Bartender",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","3.18%","Farrier",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","2.55%","Stuffy Banker",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","1.27%","Parlour Player",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","0.64%","Upper Class Lady",157
"Gnawnian Express Station","Daredevil Canyon","SB+","Dusty Coal","0.64%","Tonic Salesman",157
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","25.71%","Coal Shoveller",389
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","16.20%","Train Engineer",389
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","11.83%","Fuel",389
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","6.68%","Photographer",389
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","6.43%","Angry Train Staff",389
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","6.43%","Passenger",389
"Gnawnian Express Station","Daredevil Canyon","Gouda","Dusty Coal","5.40%","Train Conductor",389
